name,price
OpenCV轻松入门：面向Python(博文视点出品),88.10
Python金融大数据分析(第2版),72.30
编程超有趣 奇妙Python轻松学 第1辑,34.50
Python测试驱动开发 使用Django Selenium和JavaScript进行Web编程(图灵出品),83.90
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现(博文视点出品),61.40
Python数据整理,69.30
图解数据结构--使用Python,35.55
Python算法详解(异步图书出品),31.05
少儿编程之旅 趣学Python(异步图书出品),22.05
基于ArcGIS的Python编程秘笈（第2版）(异步图书出品),31.05
Python编程之美：最佳实践指南(博文视点出品),79.20
Python数据处理与挖掘,41.71
Python编程三剑客：Python编程从入门到实践+Python编程快速上手+Python极客项目编程（京东套装共3册）,139.45
Python核心编程 第3版 ,57.40
软件架构：Python语言实现,64.20
Python设计模式 第2版(异步图书出品),27.50
Python机器学习算法(博文视点出品),61.40
Python Flask Web开发入门与项目实战,69.30
Python机器学习（微课视频版）,31.05
Python自然语言处理实战：核心技术与算法,48.30
编程猫中国孩子的编程学习读本：玩着也能学编程+玩着也能学Python（套装共2册）,73.90
Python期货量化交易实战(异步图书出品),41.60
Python金融大数据风控建模实战：基于机器学习,83.30
Python文本分析,55.30
零基础轻松学Python 青少年趣味编程 全彩版,34.90
Python网络编程（第3版）(图灵出品),55.70
基于Python的智能文本分析,62.10
从零开始学Python数据分析与挖掘,35.55
大学计算机--Python程序设计,25.40
包邮 Python从小白到大牛,59.70
Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手(博文视点出品),70.30
MicroPython从入门到精通,58.05
Python Linux系统管理与自动化运维,62.30
父与子的编程之旅 与爸爸一起学Python（全彩）,38.00
对比Excel，轻松学习Python数据分析 系统学习数据分析流程操作技术参考,39.80
从零开始学Python数据分析与挖掘（第2版）,35.91
Python程序设计基础与应用,40.40
Python网络爬虫从入门到实践 第2版,48.30
基于Python的金融分析与风险管理(异步图书出品),83.20
Python忍者秘籍(异步图书出品),35.55
金融工程及其Python应用/高等院校财政金融专业应用型教材,40.50
Python算法教程(异步图书出品),31.05
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python,95.60
Python深度学习：逻辑、算法与编程实战,87.30
Python语言从入门到精通,89.90
Python核心技术实战详解(异步图书出品),40.05
Python第三方库开发应用实战(异步图书出品),49.50
Python树莓派编程,34.30
